usuario,num_tweets,num_amigos,num_seguidores
ActualidadSobre,643,385,35
mariapazVEGADI1,0,29,0
samuelpoblete15,0,51,1
miguela98570288,0,32,0
Benjami97542989,614,627,209
pepe_trueno_777,48,84,1
BaranaoRene,2,52,3
Maricel34638516,3,21,1
Jaimealvarezco2,32,100,8
MarioRa28628755,7880,641,452
Benjamn07173619,0,25,0
AdolfoAlvarezCr,269,257,17
mondaca_orlando,0,20,1
ClauGvm,691,756,750
digonvi,36,91,2
RodrigoHevia9,0,32,0
martin26959731,0,47,0
mono_rmq,0,19,0
herbert_garcia_,9,291,13
SergioE87523044,0,61,0
PODOPALUC,246,170,35
AliciaG84833313,0,33,2
Pekes_Party,1110,1692,676
DiegoVe21340903,0,74,2
elpipebulla,82,240,11
Sebasti83801979,0,51,2
Mangusmorrin,88,45,11
YasnaSantibanez,3,64,5
claudio66938721,0,21,0
AlpacasUach,12,189,18
JesusCo21814605,0,15,1
KoteSiita,5,386,8
Luciano90355435,6,105,1
arodriguezguar1,0,37,0
IvonneSegura18,468,193,26
MuguiG,26,306,117
fasp2711,0,122,14
NoraNor50215532,0,13,0
ErichGuital,2,70,1
eduardoatenas2,0,24,0
seminarioancest,860,502,49
finanzaspymes,184,3212,769
CaroGalarce1,4,54,20
ricardo77669680,0,44,0
calatrava_de,195,306,21
elizabethceci89,3,48,6
millaraysanch17,0,13,0
jessroj40083887,0,13,0
inalazobkn,4,15,4
CarmenV85236666,12,24,1
CarolGa65393875,0,11,0
Daniela_a88a,922,251,45
Fernand08330234,1,64,0
Jannic1985,51,93,28
Matias88643370,0,88,1
aletopito,20774,887,1034
Leon_Cata,5599,1329,914
reir24,0,63,0
Antonio10269661,0,26,0
AndrsS92555484,0,3,0
yaquelinsubiab1,0,40,1
cabohitman,121,194,26
ValitaCristi,2,42,0
Glaucia46948914,0,47,0
wernervolgger,22,134,39
Marian35562363,0,109,1
ConstitucionDi1,266,880,200
ctoledogalaz,43,273,26
Cecilia73390981,19,132,7
treskita,7,69,19
JuanPab89803067,0,7,0
MauriAravena_,0,87,1
Katheri37036559,0,33,0
chile_comics,1,30,1
CarMauricioB,1287,505,79
lamontaita3,0,31,0
Martinox22331,0,22,1
KvAAvtKcixHEK95,0,4,0
Marioty19621,82,102,0
marcoide,1050,593,411
KarlaAg28940912,2,87,0
OrlandoOjedaCo1,0,27,0
manuelquiroga4,1,20,7
SarmientoUP,5,42,0
BarrientosKenna,2,57,1
SusanaHermosi12,6,33,1
mariais14911956,0,18,0
antonio_jar,66,113,13
SofiaDe61980167,0,11,0
EnriqueFerradaQ,22,234,68
yasni_carrasco,2,47,9
alexi_vergara,115,81,23
Paulamatus12,0,92,0
Elizabe58209266,24,110,3
jagoperu,434,1135,103
NelsonAravena15,63,67,6
SamuelM11726775,2,39,4
Lil80857718,2,75,1
luis_moreira26,2,78,3
no_sigomodas,0,59,2
AaaaMillaa,0,40,0
Giorgio40208349,5,23,0
OscarOlivaRuiz3,1,93,6
sofiia772,57,131,15
clawi09,44527,155,198
Anais29414993,0,33,1
danielaverarey1,19,40,2
ConsueloTronc11,0,61,3
patricio1408,202,169,64
VivianER02,2,98,3
Johana78897673,0,9,0
Juan02428919,0,24,0
DeformusBlock,3179,251,75
ColkineLos,123,317,85
Nao_pinedo,2265,531,126
Tobeornotobe9,135,90,0
sergdavis,13625,603,721
BizamaMarcos,0,27,0
toti_caro,18,151,11
anonajsndndu,0,13,0
Ossandon71,2,25,5
JoseVel67000562,0,15,0
CamilaLlanquim1,0,40,0
Jorge60119837,0,27,0
DanielAlcayag15,10,13,0
AguayoAtilio,10,40,1
PameDola,18,177,21
Constan31430771,1,10,0
rlindab2801,0,41,1
vonchicasasg,4,88,3
Alberto52954800,0,8,0
Fernand35360621,195,79,36
Fernand81453172,2,23,0
TraroMaria,0,9,0
MatiasM81224229,6,52,0
Paula56017699,38,108,12
Villegasvargas1,0,35,0
josselynsch,2,19,0
guyr1302,343,397,36
CataAchermann,1528,271,251
Carolit88469134,5,41,1
CarlosS14325744,0,36,0
jabahertz,406,74,3
Darling96868660,0,20,2
Norida14241623,0,128,2
luchinveas,94,53,10
Patrici04887481,0,185,1
mariaelenabr,29,539,39
karin42874763,0,87,4
alegon__,13410,3374,1467
sanhuuueza,0,12,0
karitoinexplikb,48,179,23
Natacha16968942,0,78,3
Fabiandolfi,21,102,20
Ignacio32752209,0,156,3
Jegor75935262,0,108,0
iturra_pau,338,74,9
01101100Cat,9770,227,112
karleb7,1,61,0
cayul_h,1,25,0
Sebasti29669882,0,11,0
Luiscolomerago1,0,107,1
ForoChile,4851,647,829
Andrea30585180,1,22,0
YohanaElgueta2,0,26,0
Dany2784,421,482,114
Clau15656394,39,40,0
Vivi38465885,0,26,0
cinostrozas,5,219,15
invicente,1910,346,143
ElizabethSez2,0,10,1
AlexJavierSan11,64,159,11
evansito8,0,11,0
valemilesjae,9,106,10
waimallen,2,36,2
stange_anita,3,28,1
jennife27675902,2,79,0
BeroizaMarcelo,6,50,2
Claudio25234425,0,32,2
katerinneRc,1,6,0
Eileen44001570,33,70,23
Daniela93687831,46,145,13
Fernasilvaval,133,306,24
jenny23536222,28,85,10
cristob17664819,0,11,0
MarioPerezHer19,10,4,0
Remigio73,687,133,26
GabrielaPalavi2,1,25,0
PazHayet,4400,3545,2903
leoleokeleo,0,27,0
JorqueraEdita,30,125,5
Karla576777844,1,12,0
Antonio81410206,2,71,1
MariaJo30612917,0,14,0
Elisabe44709010,0,13,0
MARCELOOSSES15,0,9,0
Chato45242685,3,23,0
AnaMara01417836,1,7,0
naldo135,154,78,26
Gabyvaldic,24,78,10
Delyta10,0,89,3
Linda46322071,11,44,3
Pedro30387933,0,87,0
betyfarias2,0,27,1
DidierG42216108,43,64,2
22eske,0,126,0
Klau57949875,2,101,2
Sandra41544276,0,40,0
Claudio79849141,33840,237,174
msprochelle,9,19,1
tvtotalchile,1814,1970,1133
herlizam,506,148,105
MercierMarcgeda,5,100,9
Carlito78395602,91,290,15
AleMirnatapiah,0,36,0
DiegoYGlott,52207,1598,1199
Manecita_2812,0,28,0
daninbr,10,137,18
SaezTahina,12,103,23
JasonTreufo,2,92,1
Marcia_emg,149,735,130
Alfonso03456237,0,60,0
Fernand52593184,0,90,2
AlceraM66,379,141,21
Marcelo16596009,0,25,0
claudia57497589,1,89,3
MendelStore,13,40,4
dolavarrr,223,1362,169
SebastianLeonV4,26158,364,267
flinarezb,0,39,0
Valeria73845230,0,48,1
miriam07229440,65,63,1
Itsian11991425,0,48,2
rosset_busch,4,84,0
omacrac3,0,33,6
Brian92682418,0,13,0
JuanFriz4,1,161,2
JorgeBa77094865,0,16,0
Vitanita7,0,17,0
cmonavarretec,2,106,0
Estefakam,8512,267,25
Gerardo07725920,0,43,0
BastiasNovoa,0,28,0
TeacherMoya,53,511,44
ReginaFFalang,1084,233,50
MiguelA04872187,20,110,4
Paulett97497010,0,49,0
MaraCri29188125,429,27,4
JenniferInostr8,6,143,14
LaManoNegraOri,4,59,6
MarcelC58466815,0,32,0
JorgePa57896921,1,155,0
Cristia74444673,0,23,0
CherieA81311446,0,35,0
nidia_jaque,0,18,1
PazPinto20,0,127,5
Rafael24825648,0,940,0
Chio47326565,0,9,0
rhurtadou,16,652,32
la_ita27,3,205,15
AndreaGaete20,0,14,2
VALITA13600523,6,96,0
camila74245836,0,8,0
lvarotroncoso1,33,256,13
emeonse,3,24,0
cgadelcampo9009,317,383,213
Cristia31667910,0,7,0
elpanchochavez,10651,4969,692
mariana_wenzel,2,19,2
Guille123cobra,26,156,13
rschwarzenbergs,56418,9419,12081
AndresRojasMuo2,1,15,0
juanin_y,1,37,2
Nicolas43099616,0,33,0
EduFelipe_C,20894,3271,1603
Angelic17777409,1,83,0
Sebasti10191517,0,22,0
vilurian_,73,45,4
NataliaGatica18,0,8,0
PamelaLeonor5,0,127,1
carmen16282576,0,41,0
YatzenMieres,0,18,0
UAI_VINA,11002,1516,7453
JorgeAl00774173,0,31,3
xenia1968,0,29,0
fernandaluzzi,78,146,269
SMonje27,0,216,4
eviitaheredia,108,69,22
sofyastel,1,36,1
Marisel20681953,0,6,0
vlepelop,85,130,13
DonosoVelasquez,0,71,0
carlos1305mayo,450,1444,343
cintiapazrs,71,205,11
florachilensis,569,417,469
s_recabal,0,8,1
carlos83073075,0,27,0
PamelaGuerrero,14039,1331,491
FranVal72221080,4,313,11
ivette26992289,0,49,0
marcositurraga1,2,106,20
VMaurolagoitia,0,11,1
anavillaloboss1,0,37,5
_caro76,2377,243,248
92brubrubru,6,5,1
ManuSlasher,37,40,7
queensugamin,4171,267,152
emerson31579950,0,16,0
miazbaagu,280,1468,195
carlasalazarn0,250,1014,24
DanielS74253399,0,16,0
MCotvil,0,82,0
Pichito97383982,0,37,1
Angelli97628393,3,63,7
Olguita_ahogada,180,799,43
CamilaGrez1,0,11,0
NoticieroAFTV,8,128,4
Nicolas52485643,0,69,1
LeydyMora4,1,254,10
Erikdacis,0,34,1
Clo_Tapia,103,88,17
Crisleiva987,5,166,18
LoretoArcos1,0,63,1
Yosef_Bakali_,24346,3277,3685
Macaherreraflo1,0,84,3
BastienMaken,0,30,1
cmackaycl,1,24,0
ArianaGeorge1,781,1241,266
Cgomezm23,0,81,1
valeriavillau,1,130,6
miriamsepulve11,409,1576,295
MrsDraper__,20445,665,692
FunGhoul26,71,36,10
Caroleinz,1410,40,164
grosso_jime,111,410,60
FlipeerIbanez,0,13,0
Ntyy8,0,293,3
SebaFlowers1,3,161,11
CarlosCisternaP,4,102,10
Maria49593613,0,570,6
ema_neira,0,27,0
JuliaCarmenPon2,0,17,0
Amparosvdrr,0,11,1
YoshikunjoParr2,0,107,0
Carlosa44354603,0,97,3
RodrigoRACT,1964,673,235
Matias27206959,1,15,0
AlmanaqueUC,103,1773,1776
nicolas56088859,3,18,0
CristoferWeste3,0,21,1
Juan47207097,6,15,1
angelnatural,45,74,4
SanhuezaJuanico,1,91,3
Lily22960223,0,19,0
Rodrico72493669,34,83,8
Sophiaantonel16,8,170,14
kiara10769833,0,3,0
Fabinmo42101925,0,7,0
assapoznikpart1,0,47,0
VRizard,1,62,10
Angednis,42,218,26
Mimus_thenca,865,543,69
Angus8Dark,0,51,1
C0nstituyente,13450,1539,472
